ALL DATA ARE PROVISIONAL AND SUBJECT TO REVISION
08373000 Rio Conchos Near Ojinaga, Chih.
    Date     Time
             CST       Stage (m)          Discharge (cms)        
04/01/2020   16:00       1.222                 0.63
04/01/2020   15:45       1.222                 0.63
04/01/2020   15:30       1.222                 0.63
04/01/2020   15:15       1.222                 0.63
04/01/2020   15:00       1.222                 0.63
04/01/2020   14:45       1.222                 0.63
04/01/2020   14:30       1.222                 0.63
04/01/2020   14:15       1.221                 0.62
04/01/2020   14:00       1.222                 0.63
04/01/2020   13:45       1.222                 0.63
04/01/2020   13:30       1.223                 0.64
04/01/2020   13:15       1.222                 0.63
04/01/2020   13:00       1.222                 0.63
04/01/2020   12:45       1.222                 0.63
04/01/2020   12:30       1.222                 0.63
04/01/2020   12:15       1.221                 0.62
04/01/2020   12:00       1.221                 0.62
04/01/2020   11:45       1.221                 0.62
04/01/2020   11:30       1.221                 0.62
04/01/2020   11:15       1.213                 0.53
04/01/2020   11:00       1.213                 0.53
04/01/2020   10:45       1.215                 0.55
04/01/2020   10:30       1.190                 0.35
04/01/2020   10:15       1.227                 0.69
04/01/2020   10:00       1.227                 0.69
04/01/2020   09:45       1.227                 0.69
04/01/2020   09:30       1.227                 0.69
04/01/2020   09:15       1.226                 0.68
04/01/2020   09:00       1.226                 0.68
04/01/2020   08:45       1.225                 0.66
04/01/2020   08:30       1.173                 0.25
04/01/2020   08:15       1.223                 0.64
04/01/2020   08:00       1.226                 0.68
04/01/2020   07:45       1.224                 0.65
04/01/2020   07:30       1.228                 0.70
04/01/2020   07:15       1.222                 0.63
04/01/2020   07:00       1.226                 0.68
04/01/2020   06:45       1.226                 0.68
04/01/2020   06:30       1.227                 0.69
04/01/2020   06:15       1.228                 0.69
04/01/2020   06:00       1.228                 0.70
04/01/2020   05:45       1.226                 0.68
04/01/2020   05:30       1.227                 0.69
04/01/2020   05:15       1.227                 0.69
04/01/2020   05:00       1.227                 0.69
04/01/2020   04:45       1.228                 0.70
04/01/2020   04:30       1.227                 0.69
04/01/2020   04:15       1.228                 0.70
04/01/2020   04:00       1.227                 0.69
04/01/2020   03:45       1.226                 0.68
04/01/2020   03:30       1.227                 0.69
04/01/2020   03:15       1.226                 0.68
04/01/2020   03:00       1.226                 0.68
04/01/2020   02:45       1.226                 0.68
04/01/2020   02:30       1.226                 0.68
04/01/2020   02:15       1.227                 0.69
04/01/2020   02:00       1.226                 0.68
04/01/2020   01:45       1.209                 0.49
04/01/2020   01:30       1.224                 0.65
04/01/2020   01:15       1.222                 0.63
04/01/2020   01:00       1.225                 0.66
04/01/2020   00:45       1.224                 0.65
04/01/2020   00:30       1.222                 0.63
04/01/2020   00:15       1.201                 0.43
04/01/2020   00:00       1.225                 0.66
03/31/2020   23:45       1.202                 0.43
03/31/2020   23:30       1.201                 0.43
03/31/2020   23:15       1.221                 0.62
03/31/2020   23:00       1.225                 0.66
03/31/2020   22:45       1.225                 0.66
03/31/2020   22:30       1.226                 0.68
03/31/2020   22:15       1.226                 0.68
03/31/2020   22:00       1.226                 0.68
03/31/2020   21:45       1.226                 0.68
03/31/2020   21:30       1.227                 0.69
03/31/2020   21:15       1.227                 0.69
03/31/2020   21:00       1.223                 0.64
03/31/2020   20:45       1.226                 0.68
03/31/2020   20:30       1.226                 0.68
03/31/2020   20:15       1.225                 0.66
03/31/2020   20:00       1.226                 0.68
03/31/2020   19:45       1.225                 0.66
03/31/2020   19:30       1.225                 0.66
03/31/2020   19:15       1.225                 0.66
03/31/2020   19:00       1.225                 0.66
03/31/2020   18:45       1.226                 0.68
03/31/2020   18:30       1.224                 0.65
03/31/2020   18:15       1.222                 0.63
03/31/2020   18:00       1.222                 0.63
03/31/2020   17:45       1.225                 0.66
03/31/2020   17:30       1.225                 0.66
03/31/2020   17:15       1.224                 0.65
03/31/2020   17:00       1.225                 0.66
03/31/2020   16:45       1.223                 0.64
03/31/2020   16:30       1.224                 0.65
03/31/2020   16:15       1.223                 0.64
03/31/2020   16:00       1.224                 0.65
03/31/2020   15:45       1.223                 0.64
03/31/2020   15:30       1.220                 0.61
03/31/2020   15:15       1.223                 0.64
03/31/2020   15:00       1.225                 0.66
03/31/2020   14:45       1.222                 0.63
03/31/2020   14:30       1.220                 0.61
03/31/2020   14:15       1.220                 0.61
03/31/2020   14:00       1.221                 0.62
03/31/2020   13:45       1.221                 0.62
03/31/2020   13:30       1.219                 0.59
03/31/2020   13:15       1.215                 0.55
03/31/2020   13:00       1.220                 0.61
03/31/2020   12:45       1.221                 0.62
03/31/2020   12:30       1.223                 0.64
03/31/2020   12:15       1.224                 0.65
03/31/2020   12:00       1.224                 0.65
03/31/2020   11:45       1.225                 0.66
03/31/2020   11:30       1.226                 0.68
03/31/2020   11:15       1.225                 0.66
03/31/2020   11:00       1.224                 0.65
03/31/2020   10:45       1.224                 0.65
03/31/2020   10:30       1.225                 0.66
03/31/2020   10:15       1.223                 0.64
03/31/2020   10:00       1.224                 0.65
03/31/2020   09:45       1.224                 0.65
03/31/2020   09:30       1.224                 0.65
03/31/2020   09:15       1.224                 0.65
03/31/2020   09:00       1.224                 0.65
03/31/2020   08:45       1.226                 0.68
03/31/2020   08:30       1.226                 0.68
03/31/2020   08:15       1.227                 0.69
03/31/2020   08:00       1.227                 0.69
03/31/2020   07:45       1.226                 0.68
03/31/2020   07:30       1.227                 0.69
03/31/2020   07:15       1.228                 0.70
03/31/2020   07:00       1.228                 0.70
03/31/2020   06:45       1.228                 0.70
03/31/2020   06:30       1.229                 0.71
03/31/2020   06:15       1.229                 0.71
03/31/2020   06:00       1.229                 0.71
03/31/2020   05:45       1.229                 0.71
03/31/2020   05:30       1.229                 0.71
03/31/2020   05:15       1.229                 0.71
03/31/2020   05:00       1.230                 0.73
03/31/2020   04:45       1.230                 0.73
03/31/2020   04:30       1.229                 0.71
03/31/2020   04:15       1.230                 0.73
03/31/2020   04:00       1.229                 0.71
03/31/2020   03:45       1.230                 0.73
03/31/2020   03:30       1.230                 0.73
03/31/2020   03:15       1.229                 0.71
03/31/2020   03:00       1.229                 0.71
03/31/2020   02:45       1.228                 0.70
03/31/2020   02:30       1.229                 0.71
03/31/2020   02:15       1.229                 0.71
03/31/2020   02:00       1.228                 0.70
03/31/2020   01:45       1.229                 0.71
03/31/2020   01:30       1.230                 0.73
03/31/2020   01:15       1.229                 0.71
03/31/2020   01:00       1.229                 0.71
03/31/2020   00:45       1.229                 0.71
03/31/2020   00:30       1.229                 0.71
03/31/2020   00:15       1.229                 0.71
03/31/2020   00:00       1.230                 0.73
03/30/2020   23:45       1.229                 0.71
03/30/2020   23:30       1.229                 0.71
03/30/2020   23:15       1.229                 0.71
03/30/2020   23:00       1.229                 0.71
03/30/2020   22:45       1.230                 0.73
03/30/2020   22:30       1.229                 0.71
03/30/2020   22:15       1.229                 0.71
03/30/2020   22:00       1.228                 0.70
03/30/2020   21:45       1.227                 0.69
03/30/2020   21:30       1.228                 0.70
03/30/2020   21:15       1.227                 0.69
03/30/2020   21:00       1.227                 0.69
03/30/2020   20:45       1.226                 0.68
03/30/2020   20:30       1.227                 0.69
03/30/2020   20:15       1.226                 0.68
03/30/2020   20:00       1.227                 0.69
03/30/2020   19:45       1.226                 0.68
03/30/2020   19:30       1.227                 0.69
03/30/2020   19:15       1.226                 0.68
03/30/2020   19:00       1.226                 0.68
03/30/2020   18:45       1.226                 0.68
03/30/2020   18:30       1.227                 0.69
03/30/2020   18:15       1.226                 0.68
03/30/2020   18:00       1.227                 0.69
03/30/2020   17:45       1.227                 0.69
03/30/2020   17:30       1.228                 0.70
03/30/2020   17:15       1.228                 0.70
03/30/2020   17:00       1.228                 0.70
03/30/2020   16:45       1.227                 0.69
03/30/2020   16:30       1.228                 0.70
03/30/2020   16:15       1.227                 0.69
03/30/2020   16:00       1.226                 0.68
03/30/2020   15:45       1.227                 0.69
03/30/2020   15:30       1.226                 0.68
03/30/2020   15:15       1.227                 0.69
03/30/2020   15:00       1.226                 0.68
03/30/2020   14:45       1.227                 0.69
03/30/2020   14:30       1.225                 0.66
03/30/2020   14:15       1.225                 0.66
03/30/2020   14:00       1.225                 0.66
03/30/2020   13:45       1.226                 0.68
03/30/2020   13:30       1.226                 0.68
03/30/2020   13:15       1.226                 0.68
03/30/2020   13:00       1.226                 0.68
03/30/2020   12:45       1.226                 0.68
03/30/2020   12:30       1.227                 0.69
03/30/2020   12:15       1.226                 0.68
03/30/2020   12:00       1.226                 0.68
03/30/2020   11:45       1.226                 0.68
03/30/2020   11:30       1.226                 0.68
03/30/2020   11:15       1.226                 0.68
03/30/2020   11:00       1.226                 0.68
03/30/2020   10:45       1.228                 0.70
03/30/2020   10:30       1.228                 0.70
03/30/2020   10:15       1.228                 0.70
03/30/2020   10:00       1.228                 0.70
03/30/2020   09:45       1.227                 0.69
03/30/2020   09:30       1.227                 0.69
03/30/2020   09:15       1.227                 0.69
03/30/2020   09:00       1.227                 0.69
03/30/2020   08:45       1.228                 0.70
03/30/2020   08:30       1.228                 0.70
03/30/2020   08:15       1.228                 0.70
03/30/2020   08:00       1.227                 0.69
03/30/2020   07:45       1.227                 0.69
03/30/2020   07:30       1.227                 0.69
03/30/2020   07:15       1.227                 0.69
03/30/2020   07:00       1.227                 0.69
03/30/2020   06:45       1.227                 0.69
03/30/2020   06:30       1.227                 0.69
03/30/2020   06:15       1.227                 0.69
03/30/2020   06:00       1.227                 0.69
03/30/2020   05:45       1.226                 0.68
03/30/2020   05:30       1.226                 0.68
03/30/2020   05:15       1.227                 0.69
03/30/2020   05:00       1.227                 0.69
03/30/2020   04:45       1.227                 0.69
03/30/2020   04:30       1.227                 0.69
03/30/2020   04:15       1.227                 0.69
03/30/2020   04:00       1.227                 0.69
03/30/2020   03:45       1.227                 0.69
03/30/2020   03:30       1.226                 0.68
03/30/2020   03:15       1.226                 0.68
03/30/2020   03:00       1.226                 0.68
03/30/2020   02:45       1.226                 0.68
03/30/2020   02:30       1.226                 0.68
03/30/2020   02:15       1.227                 0.69
03/30/2020   02:00       1.227                 0.69
03/30/2020   01:45       1.228                 0.70
03/30/2020   01:30       1.229                 0.71
03/30/2020   01:15       1.229                 0.71
03/30/2020   01:00       1.230                 0.73
03/30/2020   00:45       1.231                 0.74
03/30/2020   00:30       1.230                 0.73
03/30/2020   00:15       1.230                 0.73
03/30/2020   00:00       1.229                 0.71
03/29/2020   23:45       1.229                 0.71
03/29/2020   23:30       1.229                 0.71
03/29/2020   23:15       1.229                 0.71
03/29/2020   23:00       1.228                 0.70
03/29/2020   22:45       1.228                 0.70
03/29/2020   22:30       1.227                 0.69
03/29/2020   22:15       1.227                 0.69
03/29/2020   22:00       1.226                 0.68
03/29/2020   21:45       1.226                 0.68
03/29/2020   21:30       1.226                 0.68
03/29/2020   21:15       1.225                 0.66
03/29/2020   21:00       1.226                 0.68
03/29/2020   20:45       1.225                 0.66
03/29/2020   20:30       1.225                 0.66
03/29/2020   20:15       1.226                 0.68
03/29/2020   20:00       1.225                 0.66
03/29/2020   19:45       1.225                 0.66
03/29/2020   19:30       1.226                 0.68
03/29/2020   19:15       1.225                 0.66
03/29/2020   19:00       1.225                 0.66
03/29/2020   18:45       1.225                 0.66
03/29/2020   18:30       1.225                 0.66
03/29/2020   18:15       1.225                 0.66
03/29/2020   18:00       1.224                 0.65
03/29/2020   17:45       1.225                 0.66
03/29/2020   17:30       1.225                 0.66
03/29/2020   17:15       1.224                 0.65
03/29/2020   17:00       1.224                 0.65
03/29/2020   16:45       1.225                 0.66
